,4-gram,count
0,"('may', 'earn', 'affiliate', 'commission')",2439
1,"('earn', 'affiliate', 'commission', 'purchase')",2439
2,"('affiliate', 'commission', 'purchase', 'something')",2439
3,"('commission', 'purchase', 'something', 'recommended')",2439
4,"('purchase', 'something', 'recommended', 'link')",2439
5,"('something', 'recommended', 'link', 'article')",2308
6,"('microsoft', 'may', 'earn', 'affiliate')",2058
7,"('right', 'keep', 'bear', 'arm')",392
8,"('latest', 'news', 'weather', 'sport')",367
9,"('news', 'weather', 'sport', 'streaming')",367
10,"('weather', 'sport', 'streaming', 'video')",367
11,"('sport', 'streaming', 'video', 'head')",367
12,"('for', 'latest', 'news', 'weather')",359
13,"('extreme', 'risk', 'protection', 'order')",341
14,"('elementary', 'school', 'uvalde', 'texas')",273
15,"('state', 'red', 'flag', 'law')",259
16,"('tribune', 'content', 'agency', 'llc')",228
17,"('content', 'agency', 'llc', 'microsoft')",226
18,"('agency', 'llc', 'microsoft', 'may')",226
19,"('llc', 'microsoft', 'may', 'earn')",226
20,"('distributed', 'tribune', 'content', 'agency')",220
21,"('new', 'york', 'state', 'rifle')",219
22,"('york', 'state', 'rifle', 'pistol')",217
23,"('recommended', 'link', 'article', 'the')",203
24,"('high', 'profile', 'mass', 'shooting')",202
25,"('center', 'disease', 'control', 'prevention')",201
26,"('com', 'distributed', 'tribune', 'content')",191
27,"('colorado', 'red', 'flag', 'law')",180
28,"('bureau', 'alcohol', 'tobacco', 'firearm')",173
29,"('state', 'rifle', 'pistol', 'association')",163
30,"('ban', 'large', 'capacity', 'magazine')",161
31,"('bipartisan', 'safer', 'community', 'act')",160
32,"('alcohol', 'tobacco', 'firearm', 'explosive')",160
33,"('support', 'stricter', 'gun', 'law')",155
34,"('read', 'more', 'read', 'more')",154
35,"('concealed', 'carry', 'improvement', 'act')",148
36,"('more', 'read', 'more', 'read')",140
37,"('com', 'microsoft', 'may', 'earn')",138
38,"('lgbtq', 'nightclub', 'colorado', 'spring')",138
39,"('the', 'new', 'york', 'time')",137
40,"('visual', 'performing', 'art', 'high')",134
41,"('performing', 'art', 'high', 'school')",134
42,"('attorney', 'general', 'letitia', 'james')",133
43,"('ban', 'high', 'capacity', 'magazine')",128
44,"('el', 'paso', 'county', 'sheriff')",126
45,"('sandy', 'hook', 'elementary', 'school')",124
46,"('state', 'federal', 'gun', 'law')",118
47,"('district', 'judge', 'glenn', 'suddaby')",115
48,"('robb', 'elementary', 'school', 'uvalde')",113
49,"('this', 'article', 'originally', 'appeared')",111
50,"('struck', 'new', 'york', 'law')",111
51,"('lift', 'every', 'voice', 'oregon')",109
52,"('city', 'attorney', 'zach', 'klein')",106
53,"('center', 'prevent', 'gun', 'violence')",103
54,"('left', 'five', 'people', 'dead')",103
55,"('the', 'texas', 'tribune', 'thanks')",102
56,"('according', 'gun', 'violence', 'archive')",101
57,"('called', 'red', 'flag', 'law')",100
58,"('red', 'flag', 'gun', 'law')",100
59,"('new', 'york', 'new', 'gun')",97
60,"('stoneman', 'douglas', 'high', 'school')",97
61,"('former', 'president', 'donald', 'trump')",96
62,"('central', 'visual', 'performing', 'art')",96
63,"('rifle', 'pistol', 'association', 'bruen')",96
64,"('texas', 'tribune', 'thanks', 'sponsor')",96
65,"('tribune', 'thanks', 'sponsor', 'become')",96
66,"('thanks', 'sponsor', 'become', 'one')",96
67,"('paso', 'county', 'sheriff', 'office')",96
68,"('modal', 'window', 'beginning', 'dialog')",93
69,"('window', 'beginning', 'dialog', 'window')",93
70,"('beginning', 'dialog', 'window', 'escape')",93
71,"('dialog', 'window', 'escape', 'cancel')",93
72,"('window', 'escape', 'cancel', 'close')",93
73,"('escape', 'cancel', 'close', 'window')",93
74,"('cancel', 'close', 'window', 'end')",93
75,"('close', 'window', 'end', 'dialog')",93
76,"('window', 'end', 'dialog', 'window')",93
77,"('marjory', 'stoneman', 'douglas', 'high')",92
78,"('york', 'new', 'gun', 'law')",91
79,"('so', 'called', 'red', 'flag')",91
80,"('giffords', 'law', 'center', 'prevent')",91
81,"('law', 'center', 'prevent', 'gun')",91
82,"('sherman', 'county', 'sheriff', 'brad')",86
83,"('county', 'sheriff', 'brad', 'lohrey')",86
84,"('oregon', 'state', 'sheriff', 'association')",85
85,"('constitutional', 'right', 'bear', 'arm')",84
86,"('common', 'plea', 'judge', 'stephen')",82
87,"('plea', 'judge', 'stephen', 'mcintosh')",82
88,"('recommended', 'link', 'article', 'new')",81
89,"('minority', 'leader', 'mitch', 'mcconnell')",80
90,"('new', 'york', 'attorney', 'general')",79
91,"('executive', 'director', 'buckeye', 'firearm')",79
92,"('director', 'buckeye', 'firearm', 'association')",79
93,"('assault', 'weapon', 'high', 'capacity')",78
94,"('carry', 'gun', 'without', 'permit')",78
95,"('commicrosoft', 'may', 'earn', 'affiliate')",78
96,"('attorney', 'general', 'ellen', 'rosenblum')",78
97,"('red', 'flag', 'law', 'allow')",77
98,"('shooting', 'buffalo', 'new', 'york')",76
99,"('law', 'abiding', 'gun', 'owner')",76
